sID,borough,type,siteCode,siteName,classification,easting,northing,latitude,longitude,pollutants,distance_to_exposute,distance_to_kerb,height,linked,startDate
MBL445,Merton,BL,CLDP0445,Morden Bus Station,Roadside,525657,168539,51.401974,-0.194963,"NO2, PM25, PM10",N/A,N/A,N/A,,15-Mar-23
WBL457,Wandsworth,BL,CLDP0457,West Hill,Roadside,525097,174638,51.456909,-0.200855,"NO2, PM25, PM10",N/A,N/A,N/A,,28-Apr-23
WBL458,Wandsworth,BL,CLDP0458,Wandsworth Town,Roadside,525555,174661,51.457012,-0.194256,"NO2, PM25, PM10",N/A,N/A,N/A,,28-Apr-23
WBL459,Wandsworth,BL,CLDP0459,Roehampton Lane,Roadside,522432,173768,51.449669,-0.239489,"NO2, PM25, PM10",N/A,N/A,N/A,,28-Apr-23
WBL460,Wandsworth,BL,CLDP0460,Wandsworth Bridge,Roadside,526083,175410,51.463623,-0.186392,"NO2, PM25, PM10",N/A,N/A,N/A,,28-Apr-23
WBL461,Wandsworth,BL,CLDP0461,Mitcham Road,Roadside,527693,171209,51.42551,-0.164746,"NO2, PM25, PM10",N/A,N/A,N/A,,28-Apr-23
WBL462,Wandsworth,BL,CLDP0462,Nine Elms Lane,Roadside,529365,177453,51.481251,-0.138428,"NO2, PM25, PM10",N/A,N/A,N/A,,28-Apr-23
WBL463,Wandsworth,BL,CLDP0463,Battersea Park Rd/Queenstown Rd Junction,Roadside,528713,176872,51.476173,-0.148023,"NO2, PM25, PM10",N/A,N/A,N/A,,28-Apr-23
WBL464,Wandsworth,BL,CLDP0464,Bellevue Road/Trinity Road,Roadside,527415,173251,51.443928,-0.168004,"NO2, PM25, PM10",N/A,N/A,N/A,,28-Apr-23
WBL465,Wandsworth,BL,CLDP0465,Queenstown Road,Roadside,528601,176130,51.469536,-0.149902,"NO2, PM25, PM10",N/A,N/A,N/A,,28-Apr-23
WBL471,Wandsworth,BL,CLDP0471,Putney Disraeli Road,Roadside,524000,175139,51.461651,-0.216464,"NO2, PM25, PM10",N/A,N/A,N/A,,11-May-23
WBL472,Wandsworth,BL,CLDP0472,Putney Weimar Street,Roadside,524117,175560,51.465408,-0.21463,"NO2, PM25, PM10",N/A,N/A,N/A,,11-May-23
WBL473,Wandsworth,BL,CLDP0473,Putney High Street,Roadside,523976,175077,51.461102,-0.216833,"NO2, PM25, PM10",N/A,N/A,N/A,,12-May-23
MBL550,Merton,BL,CLDP0550,Abbey Road,Roadside,526228,170105,51.415916,-0.1862,"NO2, PM25, PM10",N/A,N/A,N/A,,24-Oct-23
WBL561,Wandsworth,BL,CLDP0561,Wandsworth High Street,Roadside,525734,174641,51.456791,-0.191697,"NO2, PM25, PM10",N/A,N/A,N/A,,19-Jan-24
WBL581,Wandsworth,BL,CLDP0581,Tooting Broadway,Roadside,527472,171477,51.427967,-0.167831,"NO2, PM25, PM10",N/A,N/A,N/A,,14-May-24
RBL053,Richmond upon Thames,BL,CLDP0053,East Sheen Primary School,Urban Background,521332,175460,51.465115,-0.254736,"NO2, PM25, PM10",N/A,N/A,N/A,,08-Jun-21
RBL124,Richmond upon Thames,BL,CLDP0124,"George Street, Richmond",Roadside,517920,174928,51.461056,-0.304015,"NO2, PM25, PM10",N/A,N/A,N/A,,31-Aug-21
RBL136,Richmond upon Thames,BL,CLDP0136,"Kew Rd, Richmond, nr taxi rank/opposite Richmond station",Roadside,518080,175259,51.463997,-0.301596,"NO2, PM25, PM10",N/A,N/A,N/A,,14-Sep-21
RBL138,Richmond upon Thames,BL,CLDP0138,"High St, Hampton Hill, opposite j/w Windmill Rd.",Roadside,514334,170913,51.425705,-0.356904,"NO2, PM25, PM10",N/A,N/A,N/A,,20-Sep-21
RBL139,Richmond upon Thames,BL,CLDP0139,"Park Rd, Hampton Hill, nr j/w High St, TW11,",Roadside,514475,171308,51.429226,-0.354741,"NO2, PM25, PM10",N/A,N/A,N/A,,20-Sep-21
RBL140,Richmond upon Thames,BL,CLDP0140,"South Rd, outside Lidl, nr j/w Wellington/Hampton Rd TW2",Roadside,514866,172024,51.435581,-0.348888,"NO2, PM25, PM10",N/A,N/A,N/A,,20-Sep-21
RBL141,Richmond upon Thames,BL,CLDP0141,"RFU Stadium, Whitton Rd j/w A316",Roadside,515564,174136,51.454422,-0.338166,"NO2, PM25, PM10",N/A,N/A,N/A,,20-Sep-21
RBL142,Richmond upon Thames,BL,CLDP0142,"Burtons Road, Hampton Hill, west of j/w Albert Road, on railway bridge",Roadside,514332,171484,51.430832,-0.356738,"NO2, PM25, PM10",N/A,N/A,N/A,,20-Sep-21
RBL143,Richmond upon Thames,BL,CLDP0143,"St John the Baptiste Primary Sch, Lwr Teddington Rd KT1 4HQ ( between Seymour Rd and Broom Pk)",Roadside,517638,170074,51.417484,-0.309678,"NO2, PM25, PM10",N/A,N/A,N/A,,20-Sep-21
RBL144,Richmond upon Thames,BL,CLDP0144,"Stanley Juniors Sch, Strathmore Rd, Teddington TW11 8UH",Roadside,515146,171839,51.433861,-0.34492,"NO2, PM25, PM10",N/A,N/A,N/A,,20-Sep-21
RBL145,Richmond upon Thames,BL,CLDP0145,"St Richard Reynolds College, Clifden Rd, north of j/w Copthall Gdns TW1",Roadside,515890,173396,51.447701,-0.333711,"NO2, PM25, PM10",N/A,N/A,N/A,,20-Sep-21
RBL146,Richmond upon Thames,BL,CLDP0146,"Broad St, Teddington, nr Tescos + j/w Queens Rd TW11",Roadside,515572,170977,51.426029,-0.339073,"NO2, PM25, PM10",N/A,N/A,N/A,,20-Sep-21
RBL147,Richmond upon Thames,BL,CLDP0147,"Hospital Brg Rd, north of Montrose Ave, Turing House School development",Roadside,513576,173617,51.450153,-0.366928,"NO2, PM25, PM10",N/A,N/A,N/A,,20-Sep-21
RBL148,Richmond upon Thames,BL,CLDP0148,"Deer Park Schl/Lidl, Richmond Rd, opp j/w Morley Rd, E Twickenham",Roadside,517489,174305,51.455547,-0.310414,"NO2, PM25, PM10",N/A,N/A,N/A,,20-Sep-21
RBL149,Richmond upon Thames,BL,CLDP0149,"High St Teddington, nr Post Office and M&S",Roadside,516217,171134,51.427307,-0.329758,"NO2, PM25, PM10",N/A,N/A,N/A,,20-Sep-21
RBL150,Richmond upon Thames,BL,CLDP0150,"St Margarets Rd, opposite St Margarets station, TW1",Roadside,516832,174259,51.455269,-0.319876,"NO2, PM25, PM10",N/A,N/A,N/A,,20-Sep-21
RBL151,Richmond upon Thames,BL,CLDP0151,"Kew Rd, nr entrance to Kew Gardens, (opp j/w The Avenue)",Roadside,518695,176404,51.474155,-0.29236,"NO2, PM25, PM10",N/A,N/A,N/A,,20-Sep-21
RBL176,Richmond upon Thames,BL,CLDP0176,"St Margaret’s Road, Twickenham",Roadside,516628,174832,51.460457,-0.322624,"NO2, PM25, PM10",N/A,N/A,N/A,,19-Nov-21
RBL177,Richmond upon Thames,BL,CLDP0177,"Richmond upon Thames Schl + Richmond College, Egerton Rd, Twickenham",Roadside,515414,173925,51.452553,-0.340384,"NO2, PM25, PM10",N/A,N/A,N/A,,19-Nov-21
RBL178,Richmond upon Thames,BL,CLDP0178,"Strawberry Vale, Teddington",Roadside,516217,171875,51.433968,-0.32951,"NO2, PM25, PM10",N/A,N/A,N/A,,19-Nov-21
RBL179,Richmond upon Thames,BL,CLDP0179,"Winchester Rd, St Stephens Primary School",Roadside,516614,174411,51.456673,-0.322972,"NO2, PM25, PM10",N/A,N/A,N/A,,19-Nov-21
RBL180,Richmond upon Thames,BL,CLDP0180,"King St, Twickenham",Roadside,516257,173257,51.446381,-0.328477,"NO2, PM25, PM10",N/A,N/A,N/A,,19-Nov-21
RBL181,Richmond upon Thames,BL,CLDP0181,"Paradise Rd, Richmond",Roadside,517929,174786,51.459778,-0.303931,"NO2, PM25, PM10",N/A,N/A,N/A,,19-Nov-21
RBL182,Richmond upon Thames,BL,CLDP0182,"Manor Rd, west bound",Roadside,516582,171364,51.429298,-0.324435,"NO2, PM25, PM10",N/A,N/A,N/A,,19-Nov-21
RBL183,Richmond upon Thames,BL,CLDP0183,Twickenham Academy,Roadside,513885,173028,51.444805,-0.362672,"NO2, PM25, PM10",N/A,N/A,N/A,,19-Nov-21
RBL184,Richmond upon Thames,BL,CLDP0184,"Twickenham railway bridge, London Rd, Twickenham",Roadside,516140,173601,51.44949,-0.330053,"NO2, PM25, PM10",N/A,N/A,N/A,,19-Nov-21
RBL185,Richmond upon Thames,BL,CLDP0185,"High St, Whitton",Roadside,514204,173724,51.450996,-0.357864,"NO2, PM25, PM10",N/A,N/A,N/A,,19-Nov-21
