siteCode,siteName,borough,latitude,longitude,averaging_period,date,pollutant,value
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2022-01-01,PM10,29.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2022-02-01,PM10,15.6
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2022-03-01,PM10,35.2
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2022-04-01,PM10,14.6
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2022-10-01,PM10,24.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2022-11-01,PM10,25.7
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2022-12-01,PM10,26.3
ME2,"Merton Road, South Wimbledon",Merton,,,Year,2023-01-01,PM10,24.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2023-01-01,PM10,17.8
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2023-02-01,PM10,32.2
ME9,"Civic Centre, Morden",Merton,,,Year,2017-01-01,NO2,47.0
ME9,"Civic Centre, Morden",Merton,,,Month,2017-09-01,NO2,73.7
ME9,"Civic Centre, Morden",Merton,,,Month,2017-10-01,NO2,48.9
ME9,"Civic Centre, Morden",Merton,,,Month,2017-11-01,NO2,50.3
ME9,"Civic Centre, Morden",Merton,,,Month,2017-12-01,NO2,39.4
ME9,"Civic Centre, Morden",Merton,,,Year,2018-01-01,NO2,48.0
ME9,"Civic Centre, Morden",Merton,,,Month,2018-01-01,NO2,38.1
ME9,"Civic Centre, Morden",Merton,,,Month,2018-02-01,NO2,45.5
ME9,"Civic Centre, Morden",Merton,,,Month,2018-03-01,NO2,46.6
ME9,"Civic Centre, Morden",Merton,,,Month,2018-04-01,NO2,44.1
ME9,"Civic Centre, Morden",Merton,,,Month,2018-05-01,NO2,47.6
ME9,"Civic Centre, Morden",Merton,,,Month,2018-06-01,NO2,39.0
ME9,"Civic Centre, Morden",Merton,,,Month,2018-07-01,NO2,52.1
ME9,"Civic Centre, Morden",Merton,,,Month,2018-08-01,NO2,41.8
ME9,"Civic Centre, Morden",Merton,,,Month,2018-09-01,NO2,47.4
ME9,"Civic Centre, Morden",Merton,,,Month,2018-10-01,NO2,50.8
ME9,"Civic Centre, Morden",Merton,,,Month,2018-11-01,NO2,62.2
ME9,"Civic Centre, Morden",Merton,,,Month,2018-12-01,NO2,55.1
